,comp1,comp2
0,-33.507095,-7.6197724
1,-35.440178,-10.536809
2,-33.504482,-18.32172
3,-1.4761467,20.108288
4,16.784126,-5.6478357
5,5.201785,16.556576
6,-29.00365,14.5519495
7,-36.956997,9.336778
8,2.5535014,-41.104282
9,-24.643848,-9.126456
10,2.5564463,-41.10655
11,18.263857,-2.486525
12,8.474697,-7.676628
13,-3.6073883,12.425065
14,-37.813164,6.077439
15,5.714525,15.21395
16,15.906767,4.472094
17,-32.77361,-7.888641
18,13.890136,33.17687
19,-35.344784,3.7148035
20,12.882697,2.5384934
21,3.1078565,16.536482
22,1.2582955,15.1144
23,1.5804139,-41.723866
24,11.208269,4.9377465
25,-31.992695,-13.282301
26,-28.90159,14.481301
27,11.36646,-4.984526
28,22.414528,38.917435
29,12.984879,4.645589
30,-30.65813,-13.468654
31,-0.30618966,17.296667
32,4.9677033,-4.716099
33,24.402514,40.035885
34,-37.89732,5.156353
35,-3.7189665,12.1009865
36,16.573586,6.9008336
37,10.018418,26.49997
38,-31.391603,-12.406789
39,-38.355488,10.967643
40,1.6887611,-37.038094
41,-0.70697755,-43.311707
42,3.825069,-43.1679
43,-31.64952,-4.2014155
44,-32.410316,-11.773109
45,-34.57716,-19.133446
46,14.870782,-4.515319
47,-1.4752609,19.745926
48,-33.6874,-4.938104
49,9.628445,-6.111351
50,12.781987,-3.1173613
51,-27.998808,-13.561148
52,5.0333405,15.78579
53,15.214549,-2.1092765
54,-30.889812,-9.462819
55,3.061189,-45.21131
56,-33.584766,-11.24112
57,-28.891273,14.487907
58,4.6890354,14.537427
59,13.829536,0.47118673
60,-28.866001,14.499532
61,13.09069,2.951826
62,12.207279,31.761688
63,-37.804905,8.258658
64,3.177243,24.619452
65,-36.66109,-1.0176072
66,-34.295254,-14.553209
67,13.852828,-2.5730364
68,12.861848,-4.7004905
69,-28.881048,14.485518
70,-4.0165687,20.879528
71,-28.88887,14.489057
72,-31.555561,-18.092012
73,18.408363,36.0551
74,12.2590685,1.3476963
75,14.283385,3.0666423
76,1.371182,21.586668
77,14.805594,-6.3411293
78,7.293156,-5.1589165
79,-32.00973,-19.339632
80,-35.54187,-8.130774
81,-33.922585,-3.8108656
82,5.3409085,29.413593
83,-5.0807385,21.114004
84,-35.80216,-15.17698
85,2.5018594,21.850039
86,-2.1554952,20.331747
87,-37.07442,2.9688272
88,-32.58016,0.27264488
89,14.874446,0.5095798
90,17.259062,5.491542
91,8.071055,-0.11788917
92,11.812024,31.379904
93,-24.572245,-9.183622
94,18.903385,38.579857
95,5.2603197,-0.54269606
96,-37.555676,5.2844815
97,23.667269,39.540806
98,15.119029,35.067276
99,11.87729,-0.046964325
100,-28.855524,14.505227
101,8.214578,-4.010944
102,14.544037,33.79135
103,3.8429613,-44.435497
104,17.462318,-2.1392603
105,19.189276,0.51823497
106,-33.65295,-9.29082
107,24.135658,40.59136
108,7.2189364,-6.906046
109,6.7366276,-38.476177
110,-6.511827,12.847627
111,-0.89358497,15.703594
112,9.13675,4.208129
113,7.9460196,-2.6009548
114,13.021589,35.608524
115,13.951316,0.5578322
116,-1.1165742,15.321496
117,-2.813028,18.449005
118,3.548897,-45.290634
119,-32.572094,-18.669285
120,18.68288,36.03817
121,8.913277,4.864918
122,1.9370129,-37.413425
123,24.962711,40.62776
124,5.7870274,-1.1834809
125,22.00625,40.032303
126,1.0829507,-33.540024
127,14.030556,32.197193
128,6.040753,6.4699483
129,10.467269,-9.562285
130,4.22499,-43.69144
131,5.225746,-40.49659
132,16.871553,34.103943
133,-34.58475,-6.447136
134,5.76169,-44.16069
135,-38.31273,5.038332
136,9.650257,29.782957
137,0.2143764,9.824774
138,7.108406,-0.35236365
139,5.5163507,16.86545
140,1.7170403,-38.49768
141,7.633145,3.842645
142,19.826296,2.8350074
143,-33.41236,-6.5254297
144,-1.6387365,9.800497
145,1.7458394,14.006192
146,-35.55984,10.492909
147,20.026989,37.30817
148,-2.2280812,16.191868
149,8.118495,-6.522033
150,-29.1356,-14.247285
151,-31.44396,-17.384815
152,-31.766829,-9.213419
153,5.642162,-3.4680462
154,1.2153547,6.9936337
155,-29.766527,-13.267104
156,-0.015694743,14.759865
157,-3.4602418,17.67612
158,-37.279053,-4.879119
159,0.4212005,-36.788094
160,0.063797146,-37.41511
161,15.169309,-5.7027225
162,1.5776294,-44.30758
163,-36.533905,-11.769732
164,-37.041294,-9.834579
165,8.992259,25.922886
166,-36.797832,10.503572
167,-1.7641126,3.0896237
168,-28.089733,-7.550515
169,20.494942,-4.1183443
170,7.4017763,-2.0877645
171,2.5668786,-37.762024
172,17.525005,37.06702
173,-36.106457,0.2793535
174,-0.18244295,8.194777
175,2.3487139,-39.68699
176,-29.963003,-9.271952
177,9.29477,-6.3698354
178,22.131662,38.891853
179,14.952271,4.381014
180,12.255702,29.232124
181,16.501177,-7.79973
182,3.860607,17.505842
183,23.453537,41.902645
184,3.7556844,-44.87964
185,15.7834635,3.7325494
186,-37.371815,-10.715813
187,-6.0211,11.34862
188,24.67926,41.554928
189,2.5559328,-36.64727
190,-35.152332,-18.323597
191,-2.2486868,15.310708
192,23.149189,40.33992
193,-2.992322,15.1028385
194,2.2114556,-37.282394
195,23.38083,39.61465
196,-0.23173392,-34.234974
197,3.5464602,-33.998665
198,7.8161325,34.768135
199,-31.342487,-9.956088
200,20.343906,4.296038
201,-3.827565,20.04415
202,-34.074184,-15.008746
203,2.8604517,-41.989204
204,8.137062,6.2014017
205,10.596546,-1.9564403
206,-32.76076,-13.299327
207,-37.527714,3.8193142
208,-35.88833,-12.550118
209,-35.057903,-5.887271
210,17.67494,4.044274
211,-2.2816458,15.905369
212,-28.869951,14.495507
213,19.777714,37.202732
214,17.36898,-6.1600013
215,5.5186577,14.148056
216,10.336606,-0.2907965
217,6.581932,29.04937
218,12.009104,33.968266
219,15.692379,-2.5971918
220,15.3348875,34.421104
221,17.952677,36.251938
222,-35.92643,-13.89122
223,9.265793,30.004152
224,5.1325545,-38.312824
225,8.156729,27.87745
226,-40.082115,6.852895
227,6.252649,-4.1491346
228,9.206958,-4.3420053
229,-1.9927802,14.005812
230,-36.020477,-2.8652933
231,-35.92246,-10.325586
232,3.2950332,7.248508
233,-34.497093,-11.666422
234,2.1156752,6.9382443
235,23.086948,39.844337
236,22.487097,39.33678
237,1.7243315,9.152849
238,10.258777,-1.7336812
239,12.890292,26.2532
240,-4.1241627,17.331104
241,17.595694,2.4450426
242,18.739973,1.7778921
243,15.551277,37.48306
244,-35.68481,-13.858924
245,-33.347435,-14.956355
246,5.3543305,3.065504
247,3.8247623,6.5839806
248,12.292935,30.840065
249,6.0767965,-39.57669
250,10.466718,1.6227793
251,4.5926538,-1.2442003
252,-37.5788,4.8081713
253,14.909428,1.8709761
254,2.6124222,-42.101166
255,-33.25432,-9.300034
256,15.041301,-7.5539336
257,13.602649,35.203197
258,-34.068264,-13.545537
259,23.430225,40.095524
260,4.2968807,-0.65351355
261,13.298361,32.46521
262,-31.167295,-12.98167
263,-3.3855274,11.330966
264,4.5456142,7.175534
265,10.042163,-1.7742176
266,10.834852,-8.395627
267,-32.21956,-12.49571
268,14.503081,-8.418006
269,-6.074776,16.200312
270,17.251642,-6.178225
271,4.341504,-43.5715
272,-4.6859007,17.12289
273,-1.3003855,12.275472
274,15.080041,-4.9293694
275,0.04796834,-40.906178
276,8.474555,30.853214
277,-2.4547496,19.981684
278,11.672222,-3.0186296
279,1.5987048,-40.1547
280,2.853293,-40.732224
281,5.5466056,-44.02013
282,5.1231995,25.895357
