,comp1,comp2
0,-29.629591,34.858967
1,-28.69309,35.42082
2,-31.097004,33.019733
3,-27.072231,35.759487
4,-27.477701,31.848316
5,-30.575298,33.962643
6,7.044381,-6.543787
7,-29.718977,34.058758
8,-27.569746,35.394684
9,-28.279654,36.156998
10,-27.21828,36.365685
11,-30.308092,34.352802
12,-33.119896,-51.58934
13,-24.470554,-44.74325
14,8.437781,-35.05843
15,-21.612074,66.394714
16,-7.750557,4.2158947
17,-29.198269,34.548347
18,41.21447,35.05965
19,-4.0462756,-15.537799
20,2.867722,-9.2653885
21,39.30111,-6.6853995
22,-33.285366,-15.774582
23,4.0488067,-5.3700366
24,-30.118116,-54.659073
25,14.482768,28.754751
26,-11.852338,3.8216004
27,-28.5102,30.147865
28,-29.68459,35.887825
29,-16.324747,8.744344
30,-25.61437,-50.266605
31,-25.988243,-50.213123
32,-29.16889,-51.891144
33,-27.614395,-50.412132
34,5.108509,-12.774265
35,-29.101551,32.274723
36,-3.9614985,-0.20930736
37,5.651763,-14.653078
38,14.0859995,-43.051426
39,-26.844397,-57.12082
40,-19.024563,65.16607
41,0.44277525,4.2365246
42,-28.632557,-57.806026
43,-22.564121,66.77619
44,-22.105007,67.345375
45,-21.774576,66.750496
46,-24.609907,35.39017
47,-18.284004,68.4893
48,-24.955044,-50.215195
49,-7.2660537,-9.931028
50,-30.15954,-52.160576
51,-8.943336,5.8821826
52,-23.629236,35.831326
53,5.6475224,-9.242057
54,7.558839,-12.934811
55,-21.22043,66.867424
56,0.8258434,6.8625646
57,0.09203017,6.420587
58,6.7651453,-31.692854
59,19.839228,-42.87472
60,-45.004143,-10.76968
61,13.18179,32.65035
62,10.88648,-50.181904
63,-45.8311,-9.134817
64,-32.81726,-15.825588
65,-29.278418,35.949505
66,38.526222,4.3751707
67,-11.140365,5.0346284
68,-29.755136,-50.348
69,47.793674,-0.6964759
70,9.417023,-43.542923
71,7.4923477,-33.298584
72,11.308456,-35.099037
73,-18.932018,-59.065983
74,-3.2391076,-7.428495
75,-6.9114866,-5.8008842
76,-28.48752,-46.155537
77,4.191691,-8.7105465
78,-0.7061433,-4.4490905
79,4.556212,-9.299787
80,-4.2684956,-9.357619
81,6.1855807,-13.366532
82,-12.579477,15.198675
83,-28.642824,35.841526
84,-21.290869,66.143326
85,-22.848244,-55.604805
86,-35.30489,-52.89609
87,-1.4379658,2.402726
88,8.144416,-40.927113
89,5.3952093,-8.410166
90,-12.985957,10.079984
91,5.557504,-3.1553059
92,-6.0842814,-11.593427
93,7.527787,-4.652184
94,6.678688,-4.501351
95,20.90592,-37.31858
96,-7.7794294,6.7066684
97,-17.599642,-45.349354
98,-32.572285,-53.39376
99,-1.6171412,-0.013701712
100,-34.99973,-51.66082
101,41.932915,1.5126343
102,16.107595,30.298422
103,-27.070847,-53.90764
104,-7.3408747,-17.287594
105,3.9950185,-5.4458957
106,14.23335,-43.634705
107,-4.292065,6.175931
108,-27.33109,31.512661
109,-27.650522,-49.120087
110,-3.1912403,-7.824882
111,4.8982058,-18.147419
112,-23.174206,-46.444466
113,2.7229607,4.682684
114,3.2355742,-9.2635565
115,-0.8741759,-12.176289
116,-23.017963,-59.890728
117,3.2736742,-2.3835433
118,-31.816322,-52.164967
119,-7.0834785,10.224005
120,-0.04878135,-4.590727
121,6.6035066,-15.5029125
122,-32.935204,-54.539474
123,-4.67649,-9.610087
124,3.1587932,-8.734199
125,4.7624044,-1.6649272
126,-18.526333,-41.682434
127,1.9259722,-17.30545
128,-27.75026,-49.815723
129,-9.769187,-5.13989
130,9.042861,30.34979
131,51.074368,-8.387017
132,-6.7195287,-6.0498075
133,-27.593313,34.263985
134,33.20505,-0.5777629
135,7.690504,-6.519291
136,-9.413532,5.5784044
137,15.2257,28.461462
138,-0.60548514,-6.5794144
139,-31.30336,-46.811813
140,10.613906,-50.373295
141,1.8405623,-4.543814
142,-16.79057,-4.347828
143,12.0087,-31.814722
144,-5.726286,9.261583
145,-33.178146,-52.11992
146,6.3998485,-2.371533
147,-45.70735,-9.10853
148,40.199158,32.582623
149,6.882321,-32.11095
150,8.282662,-36.165577
