,comp1,comp2
0,-16.02961,3.1863468
1,-16.647074,3.054535
2,-17.16805,2.5167542
3,-18.7991,2.4830353
4,-17.87359,2.3118417
5,-20.158941,4.0992503
6,-18.05914,1.6578463
7,-15.508341,4.018748
8,-16.35489,4.1418676
9,-18.29015,2.244513
10,-16.851816,5.3592997
11,-16.318958,2.6572292
12,-19.013752,2.9241319
13,-17.479776,3.7455359
14,-16.373716,4.1459727
15,-19.397005,1.268931
16,-18.886827,4.8841705
17,-16.885988,3.8215106
18,18.585773,-3.2472029
19,-17.333698,4.1125913
20,-18.66579,4.788031
21,-17.382065,2.3189936
22,-19.086723,3.2571702
23,-17.38392,3.6542
24,-17.364693,4.2544703
25,-17.977016,6.6574574
26,-19.40913,2.990683
27,-19.047693,3.0715537
28,-17.47845,5.0043426
29,-19.508265,1.7442418
30,-16.501356,3.1876988
31,-17.713966,3.8019798
32,-18.608267,5.354862
33,-19.735582,2.612908
34,-16.763865,1.6888216
35,-18.285652,2.8674762
36,-17.583553,1.2717943
37,-16.566994,3.0652363
38,-17.658134,4.061416
39,-17.149117,4.231707
40,-18.913841,5.401614
41,-18.706278,3.6371057
42,-17.220081,3.2664127
43,19.399042,-1.5578028
44,-18.920649,0.96455055
45,-19.782227,3.824417
46,-17.33199,3.9500935
47,-16.356619,3.8354352
48,-17.261114,3.0596995
49,-17.032022,5.362689
50,-16.184963,3.140643
51,-17.699509,2.808461
52,-17.256521,1.6632897
53,-18.138483,1.6016104
54,-18.075434,2.2687547
55,-17.133488,3.8430073
56,-18.723118,0.622854
57,-18.31124,4.451789
58,-17.149776,0.28535715
59,-19.677359,1.8219993
60,-17.760706,3.5669327
61,-17.372667,3.5219896
62,-17.02029,2.164399
63,17.065405,-2.4622684
64,-17.430422,4.5884786
65,-17.980047,3.3971143
66,-18.691463,3.7123609
67,-18.60511,2.061045
68,-17.800411,2.6952713
69,-17.909285,2.5712597
70,-4.080222,-19.027363
71,-5.120718,-17.725834
72,-5.799095,-18.51053
73,-5.9911532,-17.50478
74,-9.109341,-8.856139
75,-4.991479,-18.447378
76,-5.362722,-17.903341
77,-3.7703717,-17.107296
78,-3.2022865,-16.971548
79,-4.8599725,-18.538876
80,-6.2281137,-18.193449
81,-4.32686,-19.527563
82,-8.800836,-8.015746
83,-9.289232,-8.644031
84,-4.9577575,-16.037956
85,-4.062635,-18.770164
86,-5.1440697,-18.292194
87,-4.173307,-17.176468
88,-8.628617,-10.96901
89,-4.42917,-18.649769
90,-4.242355,-17.035465
91,-8.835367,-10.829583
92,-4.7201486,-19.073503
93,-3.7502692,-16.006954
94,-5.6392455,-17.70953
95,-4.6669154,-16.941628
96,-9.373865,-8.023286
97,-2.905856,-18.027054
98,-7.280742,-10.950507
99,-3.2330606,-19.186287
100,-4.6512365,-17.471272
101,-5.2056437,-18.413078
102,-5.46364,-17.12088
103,-4.405515,-16.816664
104,-3.3557994,-17.667662
105,-3.8236961,-18.172771
106,-3.6704428,-18.536709
107,-3.6999981,-17.508253
108,-3.6122944,-16.547848
109,-3.4979045,-18.712774
110,-3.666069,-17.130558
111,-4.3022223,-18.374596
112,-4.7969136,-18.940426
113,-2.7372167,-19.242683
114,-3.552894,-17.895452
115,-2.9951122,-17.462616
116,-3.6506913,-18.323524
117,-5.45352,-18.138485
118,-4.7276177,-19.089436
119,-4.543361,-18.281084
120,-5.2776146,-15.91698
121,-7.6934543,-12.909951
122,-5.0817432,-18.131247
123,-4.576435,-18.23329
124,-4.6501713,-17.7055
125,-5.0494723,-16.708681
126,-8.906078,-10.074621
127,-9.183003,-8.192662
128,-4.7170715,-14.782658
129,-4.858697,-17.083813
130,-4.745991,-17.717844
131,-4.607298,-16.70124
132,-3.747079,-18.491425
133,-5.187332,-19.35603
134,-5.257086,-15.515923
135,-4.629996,-14.882134
136,-8.939496,-11.341536
137,-4.0174685,-17.973644
138,-5.2045903,-19.00135
139,-7.705711,-12.802231
140,-6.328845,-16.561281
141,-4.509053,-17.622276
142,-4.973761,-18.493532
143,-4.7172627,-17.303185
144,-2.2648783,-18.641098
145,-4.7327523,-17.755222
146,-4.2802153,-16.621046
147,-5.5934997,-18.192669
148,-5.6559954,-17.411142
149,-3.864595,-15.866664
150,-5.020585,-18.044514
151,-19.8465,10.644392
152,-19.593327,11.8230915
153,-19.975496,10.949251
154,-17.959494,12.167264
155,-18.986229,13.003115
156,-21.131144,12.451067
157,-19.07505,12.122617
158,-19.501772,13.611148
159,-19.889166,10.061528
