,comp1,comp2
0,-14.217722,39.168476
1,-17.617125,21.388737
2,-37.011036,5.7909036
3,-19.612122,23.922213
4,-32.30336,30.655653
5,-22.456566,36.232147
6,-21.50524,20.072443
7,-19.973856,45.539852
8,-22.583164,21.887962
9,-22.979403,46.07968
10,-20.062082,29.06074
11,-19.577604,45.29599
12,-24.589813,38.253513
13,-28.49564,35.635433
14,-24.61778,27.378119
15,-19.41812,28.605972
16,-15.639018,40.85293
17,-20.690384,44.757698
18,-14.732093,35.345566
19,-17.363333,27.409857
20,-40.101673,6.2579265
21,-30.9892,18.799248
22,-18.208286,33.84442
23,-27.47628,41.473606
24,-18.878317,28.91793
25,-28.131931,28.677935
26,-17.796612,30.78487
27,-15.322236,43.11834
28,-22.852942,42.96808
29,-16.849766,22.851234
30,-29.295671,35.341198
31,-15.641465,27.937506
32,-30.00911,29.015162
33,-22.201044,20.626486
34,-28.279295,22.770178
35,-27.363998,22.46237
36,-15.349211,43.227604
37,-13.818348,33.436195
38,-25.272894,22.289328
39,-23.010487,32.318913
40,-18.448853,38.069527
41,-20.584448,46.338505
42,-21.095041,33.639236
43,-31.486053,0.36785865
44,-21.44698,36.06553
45,-20.5389,42.97503
46,-26.408583,26.231077
47,-19.219213,45.02883
48,-22.807062,37.96206
49,-25.041174,19.437614
50,-20.674385,45.076973
51,-23.51188,35.98394
52,-26.118643,42.696293
53,-23.538538,45.569275
54,-13.794018,25.472843
55,-30.651323,35.854527
56,-23.405405,37.401817
57,-15.8160925,34.31211
58,-14.904752,32.360573
59,-39.661983,6.36925
60,-21.561249,23.99056
61,-20.783447,20.03031
62,-30.39204,27.134943
63,-21.142765,36.79053
64,-16.601664,24.120934
65,-27.345463,30.494621
66,-16.274574,23.23499
67,-24.62752,41.97943
68,-22.194944,44.688377
69,-22.285908,32.183758
70,-18.322893,30.36127
71,-26.846159,34.302567
72,-21.558863,30.335907
73,-26.749968,28.956205
74,-21.918768,39.350227
75,-22.441076,43.44836
76,-37.209747,5.606489
77,-21.938427,34.497948
78,-17.669281,38.145103
79,-20.864464,41.905674
80,-25.826757,37.92568
81,-27.633574,41.220455
82,6.279433,44.621044
83,-27.33653,24.91836
84,-23.501877,28.774765
85,-17.15323,43.383247
86,-24.037369,16.867424
87,-23.669611,46.838383
88,-26.712185,24.829226
89,-40.499344,5.481963
90,-21.964582,44.83989
91,-26.65162,30.230871
92,-30.891026,18.584202
93,-20.790798,27.558128
94,-28.240679,39.879208
95,-14.362655,38.375217
96,-24.66599,45.399315
97,-22.742615,39.0029
98,-25.479254,27.776546
99,-14.441343,39.976883
100,-19.88353,24.245718
101,-19.436605,38.164658
102,-28.206623,42.84201
103,-29.022064,26.931396
104,-18.045403,21.242628
105,-20.91157,25.127941
106,-24.602585,38.98813
107,-25.257545,24.822908
108,-24.287634,41.441864
109,-24.346598,40.98843
110,-39.05115,6.348869
111,-22.68876,31.129196
112,-22.130184,45.471596
113,-25.109152,19.573711
114,-25.04796,25.762272
115,-21.426311,32.2617
116,-17.689116,39.036938
117,-28.707174,30.488611
118,-29.415068,20.719103
119,-30.399082,24.23607
120,-16.075838,32.584427
121,-30.434128,36.162895
122,-21.349945,44.30161
123,-31.916182,31.1308
124,-23.676502,29.541464
125,-30.486485,27.108582
126,-26.50057,29.29338
127,-23.368565,40.672516
128,-20.446392,31.081282
129,-27.023643,43.298862
130,-25.210041,33.06245
131,-19.005209,31.268093
132,-21.276293,30.26631
133,-14.574913,43.290863
134,-20.768702,37.47369
135,-29.69883,17.316656
136,-29.35522,26.048367
137,-20.497711,33.249744
138,-29.746593,31.096893
139,-21.94948,29.074715
140,-24.869165,30.104181
141,-18.39273,22.631363
142,-16.74908,40.012085
143,-14.5601635,35.40743
144,-14.730913,34.449253
145,-27.451527,22.77993
146,-21.462551,46.237465
147,-24.167393,39.42675
148,-25.891289,36.665283
149,-26.522764,34.491272
150,-29.785505,-5.5068393
151,-17.313538,29.042233
152,-24.0981,43.234386
153,-16.992687,25.369732
154,-20.666842,29.695402
155,-20.269821,25.622372
156,-21.037903,39.872925
157,-26.02919,41.949097
158,-25.685009,36.69616
159,-28.880238,32.341034
160,-32.76555,-0.829399
161,-24.689734,26.302465
162,-13.988458,28.587784
163,-18.010357,35.579887
164,-19.17265,32.7498
165,-21.70837,32.61549
166,-39.424778,4.851363
167,-25.070639,22.064358
168,-24.963646,19.802237
169,-14.33086,39.16126
170,-29.164318,23.16573
171,-24.68451,34.91214
172,-41.2153,6.8777814
173,-40.389835,4.5509257
174,-23.43805,36.45861
175,-23.797798,24.432154
176,-14.970321,26.160532
177,-17.199703,34.871334
178,-38.669323,4.4003124
179,-30.421753,35.79196
180,-40.38997,5.7783284
181,-28.22583,31.958324
182,-28.396997,25.617498
183,-20.893568,41.85968
184,-28.64989,32.1422
185,-37.00653,7.9323797
186,-24.3149,27.52621
187,-19.435854,25.268953
188,-25.026512,35.79238
189,-38.717224,4.472695
190,-30.203844,30.485626
191,-29.372118,19.621504
192,-22.30826,41.634033
193,-30.456001,-0.79250824
194,-20.048702,35.936035
195,-20.608236,41.919178
196,-28.111914,26.531065
197,-20.274446,30.921425
198,-25.62919,25.635067
199,-17.617998,45.160866
200,-36.457146,6.2242393
201,-24.887094,43.001373
202,-26.277496,24.428122
203,-19.026913,20.375278
204,-15.378383,23.389921
205,-16.739382,20.810648
206,5.081058,47.810905
207,-25.103262,38.024937
208,-31.957508,17.56524
209,-15.842338,25.83377
210,-39.871887,7.1802287
211,-22.9842,22.056332
212,-20.508514,18.900673
213,-15.480936,24.672693
214,-18.185146,22.922762
215,-28.242025,39.68716
216,-30.578133,17.64205
217,-22.587343,20.22677
218,-21.46086,38.400005
219,-22.078432,36.30213
220,-19.436949,38.880596
221,-20.438643,42.193382
222,-18.205824,35.60163
223,-39.30428,5.4799356
224,-18.535465,30.012337
225,-39.07686,7.443088
226,-30.781818,35.948498
227,-30.034273,35.089203
228,-13.705517,29.256754
229,-19.09873,44.588688
230,-18.94993,28.29531
231,-13.639133,37.44234
232,-19.552515,41.454967
233,-18.074749,35.83791
234,-19.982265,36.29911
235,-18.95279,25.476515
236,-20.478249,29.691122
237,-24.01264,24.902702
238,-25.08635,30.435427
239,-13.881643,35.42006
240,-15.508579,31.772333
241,-26.23749,39.00833
242,-17.238955,40.329098
243,-24.18909,34.255104
244,-17.006424,22.75322
245,-19.610775,32.83327
246,-23.36195,29.608067
247,-16.988234,40.573532
248,-41.118633,5.7620234
249,-24.562258,25.224714
250,-28.24985,-11.328059
251,-26.447208,32.64768
252,-23.611094,45.731464
253,-22.518684,28.489492
254,-26.555092,34.402905
255,-26.18783,26.748343
256,-29.246054,26.856524
257,-20.069283,37.659702
258,-19.676971,40.48804
259,-39.419956,6.5130215
260,-25.596237,28.192728
261,-19.97647,32.950752
262,-17.024635,28.962233
263,-22.198942,23.895578
264,-26.613104,16.184788
265,-18.55599,41.38086
266,-21.585135,27.705173
267,-27.175571,43.283722
268,-30.77766,20.339922
269,-41.516575,6.619329
270,-26.969152,43.23799
271,-26.277004,17.481928
272,-23.867569,44.268875
273,-25.139282,36.627052
274,-22.429596,17.36503
275,-23.159864,23.076258
276,-21.441687,23.544006
277,-40.599327,5.6554155
278,-30.67039,31.78613
279,-19.939037,36.77345
280,-24.970789,25.705902
281,-22.74514,19.010946
282,-31.507826,21.845345
283,-23.99373,27.916105
284,-28.989922,16.668509
285,-22.323612,24.644154
286,-13.705908,31.131603
287,-17.484404,39.247574
288,-19.888,45.02213
289,-23.07194,20.738443
290,-24.224552,39.953217
291,-28.080072,30.533785
292,-31.018387,36.70835
293,-21.898296,25.483498
294,-23.996735,28.433949
295,-22.667383,-41.618385
296,-12.955135,27.667833
297,-28.640106,33.165455
298,-17.543747,42.008137
299,-21.56217,32.771854
300,-25.330175,39.888996
301,-19.244461,27.813719
302,-25.518654,19.931715
303,-31.512365,0.96348715
304,-18.894197,38.126217
305,-28.67475,20.122917
306,-17.614807,22.246992
307,-26.119074,32.554287
308,-26.52897,38.49413
309,-29.896362,32.045193
310,-28.604166,30.762363
311,-14.133662,23.065948
312,-28.677164,18.573954
313,-27.641935,41.592613
314,-22.79035,35.510136
315,-26.810884,21.172749
316,-22.05234,28.442259
317,-18.073286,41.015423
318,-24.391861,37.879253
319,-27.420048,22.212034
320,-17.060774,29.091806
321,-24.341143,39.461773
322,-27.199167,19.665369
323,-26.35552,40.961662
324,-29.250534,-1.1725122
325,-28.465776,19.80748
326,-22.265993,35.181503
327,-32.297337,30.88627
328,-25.739311,26.473616
329,-23.390804,37.893593
330,-17.98642,35.396103
331,-15.673227,40.868134
332,-21.498247,23.663141
333,-26.9639,29.036287
334,-23.608238,42.8543
335,-23.718481,45.67135
336,-23.606043,28.68887
337,-22.356497,28.14972
338,-28.292442,15.821442
339,-23.657248,27.959332
340,-23.7341,30.82896
341,-22.752876,21.984962
342,-15.923243,29.477753
343,-16.765657,25.345394
344,-25.02575,27.2744
345,-34.350933,6.189915
346,-15.630675,38.738297
347,-13.819198,25.56146
348,-27.231295,19.18703
349,-27.787998,21.394865
350,-26.849133,21.648436
351,-24.145899,41.680103
352,-22.21239,22.166094
353,-15.250486,32.57846
354,-27.874758,31.607218
355,-22.71969,43.358414
356,-17.396372,39.67032
357,-14.959683,34.87194
358,-39.795887,5.7069654
359,-39.854588,6.1691537
360,-24.69343,-13.903936
361,-29.460253,26.137835
362,-22.045181,43.275887
363,-15.487333,32.496975
364,-20.239313,33.51617
365,-20.96521,37.933956
366,-37.839745,5.4834156
367,-24.882856,19.430208
368,-23.220413,32.479073
369,-23.455782,28.635256
370,-27.329624,27.331505
371,-22.568892,36.626617
372,-25.653496,19.936352
373,-12.877671,27.486729
374,-18.003601,36.706764
375,-31.11967,20.362028
376,-27.579205,42.329098
377,-18.433113,21.998678
378,-30.708172,23.431293
379,-22.405653,41.707165
380,-24.363922,23.445055
381,-33.130196,-1.2172022
382,-23.462029,26.44757
383,-28.423447,21.792654
384,-29.915184,20.016527
385,-23.445578,18.980621
386,-36.936817,7.7891874
387,-28.522371,32.281204
388,-15.29384,42.486694
389,-26.438383,24.235579
390,-37.696396,4.578191
391,-13.650011,24.765732
392,-21.36911,18.199646
393,-18.045452,38.001755
394,-25.077389,19.083618
395,-21.379524,28.323965
396,-26.555231,20.880526
397,-20.757748,43.024567
398,-26.966555,23.45976
399,-32.34003,30.749779
400,-21.6619,28.864706
401,-24.440304,30.701332
402,-23.128304,-43.331635
403,-26.765265,31.221302
404,-25.686272,28.379047
405,-21.96148,25.813356
406,-32.427204,30.516
407,-38.91905,5.950799
408,-20.372065,34.69168
409,-19.257826,31.290009
410,-39.254276,6.153131
411,-15.085526,41.996525
412,-20.955029,25.23489
413,-31.599817,1.2323148
414,-27.823551,24.10478
415,-17.468203,27.227612
416,-23.766687,16.553802
417,-22.685268,30.654823
418,-28.338442,15.607528
419,-19.04526,24.433405
420,-23.293726,38.28781
421,-21.905935,34.792145
422,-18.263704,36.902233
423,-21.639198,28.56705
424,-28.111177,27.889698
425,-19.116348,45.108986
426,-30.761217,26.040165
427,-24.416908,19.179432
428,-17.649893,21.464756
429,-22.355467,22.595085
430,-20.887327,22.886515
431,-21.80414,42.551964
432,-21.519026,45.42395
433,-22.244936,43.791607
434,-23.26231,42.142845
435,-16.387375,32.9521
436,-31.081776,-7.24158
437,-17.614094,28.345116
438,-22.08588,21.819624
439,-15.379888,30.533304
440,-23.256779,32.043007
441,-22.750315,35.126156
442,-25.535116,29.805595
443,-14.374792,26.336262
444,-18.93252,35.941654
445,-22.31671,43.960583
446,-31.292498,21.838614
447,-35.40732,7.215994
448,-18.51089,25.237354
449,-18.776068,41.96345
450,-27.669565,-9.084823
451,-20.20097,27.340025
452,-23.535923,34.216755
453,-19.754887,37.385433
454,-23.120617,38.227737
455,-19.415638,43.323086
456,-25.19584,24.747568
457,-29.77342,28.597881
458,-14.856483,37.08109
459,-41.74393,6.3925242
460,-20.568209,21.190441
461,-18.690645,26.743155
462,-22.276754,30.142029
463,-26.285198,31.863447
464,-19.24475,42.825394
465,-23.269806,32.007416
466,-28.785677,31.042439
467,-26.042181,20.96368
468,-21.440212,19.688208
469,-30.200764,36.136536
470,-25.332277,22.222569
471,-17.476446,34.7133
472,-23.772356,39.01937
473,-20.52566,31.8869
474,-18.74486,41.833435
475,-23.066866,30.604765
476,-27.678415,39.912163
477,-40.23344,5.46894
478,-23.192177,33.75474
479,-23.456743,38.863457
480,-21.079556,39.587006
481,-28.689264,36.739532
482,-14.855278,39.374138
483,-30.04534,36.493847
484,-27.842209,28.285969
485,-20.547474,42.682564
486,-19.300182,30.060593
