,comp1,comp2
0,-10.621171,12.070824
1,-8.226449,14.026549
2,-11.347101,7.1423626
3,-11.640925,17.075342
4,-13.456446,19.366137
5,-15.223386,11.376791
6,-10.151812,10.977794
7,-14.543946,2.098198
8,-15.210931,13.559757
9,-10.557799,19.109339
10,-15.425372,8.300919
11,-6.908417,11.829933
12,-10.784927,6.766291
13,-14.161042,13.148117
14,-9.331587,12.674656
15,-13.785955,17.196016
16,-14.345871,14.679245
17,-13.685009,5.4193873
18,-11.934647,11.853308
19,-13.5132675,12.489378
20,-11.874517,6.9750113
21,-9.453458,15.040172
22,-12.802174,14.529369
23,-6.229509,13.005559
24,-10.200118,8.693255
25,-13.046484,10.282241
26,-13.887919,6.597826
27,-7.476941,14.456781
28,-7.7654476,11.486676
29,-16.864117,15.788113
30,-8.108778,13.15926
31,-13.387658,13.797542
32,-18.730005,14.824632
33,-12.099278,11.018354
34,-5.8870106,14.634389
35,-11.520485,11.001974
36,-4.3612146,16.80942
37,-6.205596,14.329925
38,-3.9638991,12.31996
39,-14.522574,14.856331
40,-6.3130636,15.02688
41,-7.3333097,11.979597
42,-14.704239,0.33799848
43,-7.5960684,11.958524
44,-8.811458,13.642786
45,-9.417896,14.149899
46,-14.006031,14.997109
47,-10.587439,14.000216
48,-11.940589,10.548759
49,-9.425808,9.102755
50,-7.4868865,8.685476
51,-6.809328,13.783417
52,-10.412044,11.625191
53,-11.947042,9.548409
54,-16.661371,8.641163
55,-7.071745,17.542667
56,-15.9819765,15.172914
57,-8.834381,5.476141
58,-13.525982,11.62015
59,-7.7874994,15.170042
60,-10.790918,7.4830523
61,-9.41888,8.676094
62,-7.2217836,12.44869
63,-9.730995,8.308653
64,-12.845777,10.290606
65,-15.559802,15.60195
66,-13.064956,11.126882
67,-10.340246,5.304729
68,-5.381388,6.659183
69,-8.901568,11.168494
70,-14.112336,12.179016
71,-6.506001,15.346511
72,-13.731623,14.908028
73,-8.5468445,10.521807
74,-13.23261,16.15226
75,-4.794736,7.794845
76,-10.191722,15.889878
77,-7.110526,9.8093
78,-15.434027,14.93392
79,-13.691093,12.340454
80,-11.415399,18.734411
81,-14.454591,15.654309
82,-9.304039,16.261106
83,-11.922306,11.536559
84,-8.921146,13.586651
85,-8.09604,9.437725
86,-7.8054705,13.813243
87,-11.940021,16.609997
88,-17.710861,13.170005
89,-6.653394,10.459885
90,-11.869851,10.561145
91,-13.794117,17.314726
92,-7.9684267,8.006184
93,-4.438064,12.645382
94,-14.916075,13.256986
95,-9.982982,11.300228
96,-12.822202,10.435022
97,-14.973632,14.724447
98,-11.161469,13.037414
99,-14.549697,2.07205
100,-16.124947,13.913131
101,-11.269203,13.916039
102,-16.525024,11.065461
103,-16.322346,16.508816
104,-8.328081,12.748103
105,-16.361765,14.321902
106,-4.8563557,4.397405
107,-7.3931327,15.232795
108,-10.820194,10.446669
109,-8.530501,16.243208
110,-18.664503,11.621152
111,-10.342043,13.448734
112,-11.341748,19.831305
113,-4.820185,4.315251
114,-11.9082575,11.896519
115,-16.933554,13.092578
116,-8.011066,14.314637
117,-6.886372,8.594739
118,-10.527801,7.109261
119,-6.8963547,8.535482
120,-6.323991,17.980349
121,-16.098255,14.756237
122,-9.1837225,14.942823
123,-7.542471,14.458533
124,-12.69749,10.996647
125,-9.045938,8.173529
126,-15.73202,16.600811
127,-6.8748684,12.829476
128,-9.51678,10.937671
129,-12.3061695,15.123409
130,-6.32464,9.836808
131,-5.0405674,6.633792
132,-10.410356,12.753722
133,-5.1105666,12.97355
134,-6.705067,12.8697405
135,-13.299967,15.999406
136,-4.4150424,10.166075
137,-5.777131,10.728187
138,-7.3029814,10.792065
139,-10.216751,11.743168
140,-11.198222,9.24095
141,-8.008614,12.268532
142,-17.787323,13.493056
143,-8.108791,9.820925
144,-12.384743,15.806737
145,-5.7735953,10.5202675
146,-3.749223,10.685901
147,-11.12401,9.214457
148,-13.781294,17.021614
149,-14.55008,2.1078749
150,-8.707804,14.983618
151,-12.882924,9.941797
152,-15.599049,12.700612
153,-7.7630005,12.1649885
154,-17.32621,14.409563
155,-8.046252,17.667204
156,-7.9610233,15.40705
157,-9.386808,14.343123
158,-13.161213,17.775166
159,-11.675072,15.623757
160,-9.082488,8.406485
161,-13.712921,7.5481014
162,-8.300038,12.139748
163,-10.033609,8.15985
164,-17.936108,13.468899
165,-16.698816,10.000593
166,-18.102144,14.157614
167,-10.930717,8.417861
168,-3.5482483,10.537195
169,-11.9207945,11.303538
170,-12.689948,13.442332
171,-6.381178,12.030212
172,-16.190079,13.408476
173,-8.302212,8.925599
174,-4.740315,8.11546
175,-9.37709,11.86696
176,-15.777786,9.530603
177,-6.9909625,14.249401
178,-12.759576,11.973807
179,-10.113143,12.901686
180,-10.5855255,11.569343
181,-4.8356533,11.3732
182,-14.119194,18.74471
183,-3.8931444,8.585142
184,-7.0536113,12.23253
185,-13.03082,13.496337
186,-14.565173,2.0404403
187,-14.337146,11.401845
188,-11.930999,8.163383
189,-16.3001,9.659825
190,-12.259482,12.240616
191,-17.465132,12.123619
192,-17.538206,14.945102
193,-5.248476,14.41076
194,-12.071097,12.026775
195,-11.920931,10.617205
196,-14.341451,15.82991
197,-10.825225,10.335269
198,-14.2148,12.096208
199,-14.152785,13.823378
200,-15.044993,6.0624757
201,-9.687777,14.055476
202,-8.099397,13.258244
203,-12.521121,17.974266
204,-6.7743955,19.332172
205,-6.520844,10.510538
206,-11.538434,14.948838
207,-10.930555,11.810379
208,-13.215476,7.1185665
209,-11.330203,14.30513
210,-9.7245865,11.796181
211,-13.404509,10.694975
212,-7.169887,17.550835
213,-13.375209,14.983435
214,-12.262978,14.590996
215,-6.278202,13.584171
216,-5.727293,10.942707
217,-13.886195,13.865542
218,-8.9855385,15.361212
219,-9.99155,16.75791
220,-6.75655,12.403784
221,-10.438472,18.875679
222,-8.212002,16.322544
223,-14.344247,13.650252
224,-5.457932,10.232128
225,-13.683576,12.962152
226,-16.74679,12.985262
227,-6.4787087,8.295293
228,-11.593343,17.451872
229,-8.174542,15.916734
230,-15.200497,15.083039
231,-7.2264857,10.129406
232,-8.703888,15.18019
233,-8.136641,17.329464
234,-17.050877,11.318991
235,-9.607838,4.2870684
236,-10.120579,12.944712
237,-12.076367,8.071782
238,-5.1556406,10.886818
239,-11.225783,10.774789
240,-10.683542,9.24843
241,-9.275315,13.431378
242,-8.0907545,7.470866
243,-8.268055,14.226586
244,-14.559404,1.960474
245,-5.507774,13.8701105
246,-14.6474285,7.643294
247,-11.3274145,10.155155
248,-7.39828,9.86113
249,-3.6733823,11.487096
250,-9.285668,6.1489315
251,-10.675635,16.61252
252,-10.71636,18.795612
253,-12.998263,9.373125
254,-11.492131,10.093751
255,-16.984882,11.644293
256,-8.462149,14.559484
257,-6.595686,10.058345
258,-13.449948,13.034612
259,-10.980789,14.264135
260,-12.365795,9.135004
261,-8.024247,17.902298
262,-9.210554,11.157496
263,-14.77614,14.35393
264,-9.829901,8.719439
265,-16.75347,14.605006
266,-8.358053,13.333715
267,-9.35298,17.481388
268,-17.66067,10.504538
269,-3.204715,13.392282
270,-11.377986,4.712644
271,-9.979728,7.4727893
272,-10.291686,8.245177
273,-9.697086,18.162704
274,-12.572708,9.161191
275,-13.393334,12.60399
276,-10.024723,11.828219
277,-15.503364,19.2498
278,-16.134363,7.5354238
279,-6.804733,10.658286
280,-10.266968,9.652461
281,-9.296176,8.805522
282,-9.149516,9.946058
283,-7.4185085,7.8844852
284,-10.935075,13.550939
285,-12.174053,13.604537
286,-13.643814,9.382185
287,-7.6359463,13.1067915
288,-19.189255,12.70231
289,-15.264429,10.816161
290,-13.413249,8.36664
291,-16.741276,11.713034
292,-13.757921,5.4801965
293,-14.783722,15.6463375
294,-12.380814,10.918608
295,-5.6159234,12.519185
296,-11.764206,14.320649
297,-7.7206507,10.839974
298,-11.630316,12.350962
299,-19.034718,10.317085
300,-5.355223,16.3444
301,-14.208253,12.908186
302,-2.9309766,14.567397
303,-9.225399,15.683718
304,-11.649703,7.7841907
305,-5.979947,16.311596
306,-14.137894,10.369136
307,-12.235787,12.81574
308,-14.662674,12.3762245
309,-8.992089,13.263434
310,-7.4081426,8.512242
311,-14.863531,12.220388
312,-11.809676,13.029557
313,-5.517116,12.562184
314,-9.379675,10.366068
315,-13.931565,15.482371
316,-14.2179,15.207466
317,-17.456636,7.960122
318,-9.536516,11.630407
319,-11.726196,14.377847
320,-6.5923944,9.307718
321,-7.744586,16.562468
322,-10.925335,14.510325
323,-17.233932,14.858233
324,-4.2504053,14.904642
325,-5.2686143,10.124116
326,-15.862295,9.502624
327,-12.982741,12.20598
328,-8.940257,10.933617
329,-3.2976158,13.325607
330,-8.961678,12.02997
331,-14.677506,9.22425
332,-15.672765,16.357906
333,-17.9517,10.559613
334,-12.623131,18.97021
335,-8.23019,10.432573
336,-8.999692,12.726484
337,-11.391275,18.715828
338,-9.62268,11.5438175
339,-7.565459,9.857712
340,-14.216831,10.240987
341,-10.335886,10.0058365
342,-8.615451,16.31533
343,-17.739157,13.73742
344,-9.809339,11.55494
345,-17.939356,14.708572
346,-16.097479,9.614908
347,-10.209297,10.793524
348,-11.298429,11.886958
349,-7.952471,14.741865
350,-11.358501,10.623984
351,-7.116962,7.225202
352,-7.6657186,11.899964
353,-9.348388,11.823214
354,-10.572969,8.212967
355,-9.289453,15.89864
356,-7.235712,11.362829
357,-10.4463215,12.4084215
358,-9.909649,12.648502
359,-13.151546,15.567661
360,-6.182179,9.448014
361,-10.781734,12.595795
362,-11.617691,17.130499
363,-4.8339615,4.334836
364,-15.668374,13.435889
365,-18.112541,9.3962555
366,-8.763483,5.5101404
367,-12.708911,10.859733
368,-6.035849,11.878121
369,-9.554034,13.338059
370,-7.2552514,5.66226
371,-12.216076,10.439576
372,-8.84095,14.132526
373,-13.115381,6.07315
