,comp1,comp2
0,32.6211,-0.23420957
1,4.3384085,29.728432
2,-2.7877643,-33.05174
3,13.874761,22.692997
4,-26.697712,9.318425
5,31.08077,-17.707458
6,-1.9356855,-33.797386
7,-0.21096314,52.904037
8,10.16012,-31.540745
9,13.866523,21.216393
10,22.874107,12.430759
11,13.81111,19.290794
12,42.844242,30.236399
13,-15.636644,-50.32292
14,-15.36945,4.861209
15,-23.67925,7.048031
16,28.867638,-10.336196
17,-13.277864,-2.0752068
18,13.081662,22.091625
19,-19.434351,13.717377
20,-33.38398,-41.738323
21,4.7094393,-3.84615
22,-21.082108,2.687087
23,-31.065199,33.4204
24,14.494987,-29.815186
25,13.726289,-30.637657
26,-1.065261,55.368584
27,-31.726063,32.46469
28,15.839134,18.415142
29,-28.471712,34.93677
30,32.23595,-11.842729
31,-18.121225,-1.9788746
32,-26.685827,9.280428
33,-23.584826,7.9930773
34,19.43209,13.446281
35,43.6079,12.385876
36,18.78968,34.673218
37,-14.741117,0.42524827
38,30.23624,-15.384381
39,-3.1242437,-33.198193
40,0.334286,-13.948878
41,12.918108,22.85403
42,1.751743,6.5622
43,27.07244,-40.056812
44,-23.841246,6.1885705
45,30.11738,-39.68818
46,-12.143057,12.285984
47,-22.758532,13.676241
48,34.235523,-21.001936
49,40.604122,-19.87593
50,-23.769009,7.020624
51,3.2396007,-8.689679
52,-34.19849,-35.090378
53,-27.159592,10.9030285
54,1.1431804,48.128242
55,-3.5819266,5.981103
56,-21.15303,8.7351
57,-51.767365,-0.43351388
58,-25.312553,-4.0938478
59,-3.1669796,1.4924864
60,4.4714036,48.45532
61,12.50764,17.020718
62,30.721638,-7.9197607
63,-31.976213,-30.184175
64,25.401602,-42.466095
65,-47.417892,-16.400652
66,17.873577,35.3404
67,-23.622774,-5.544293
68,-26.44883,-1.464499
69,3.0311646,-47.85954
70,-34.60249,-42.02875
71,53.95416,-2.2873306
72,-31.756506,-4.924415
73,-26.021452,4.723158
74,10.056057,-31.427181
75,20.908894,3.600124
76,-33.59593,34.220848
77,-28.118233,35.90823
78,-2.274849,-23.418814
79,-24.446573,11.335583
80,-13.246113,4.9287186
81,-30.935202,3.610992
82,-12.224643,0.34288424
83,-29.304953,34.61507
84,0.5879302,27.865738
85,-0.0038142006,-9.134153
86,-12.430583,-21.869553
87,-25.832724,33.920258
88,54.824123,-3.4599688
89,-23.799812,14.195455
90,-22.015146,5.096381
91,-26.818672,11.384768
92,28.658728,-6.817975
93,-5.9466925,9.74663
94,-46.906513,-16.29131
