,comp1,comp2
0,-4.599338,44.361305
1,-12.148559,6.6076775
2,-1.31034,-45.916996
3,-2.7778926,49.121956
4,52.6746,-0.71531975
5,-5.8030257,44.98571
6,-0.9751983,48.082443
7,11.011434,5.7645364
8,-21.204493,-19.731241
9,-2.8223023,40.426857
10,-55.313892,-5.8229966
11,-22.7483,-24.146383
12,-0.6329297,6.097792
13,-1.2734448,-56.167625
14,-25.342327,-22.806581
15,45.802593,3.881654
16,-25.596643,-28.552216
17,9.402124,9.531811
18,1.5305684,-49.349617
19,-12.930997,8.838123
20,16.63302,15.079146
21,16.815298,18.85234
22,11.651475,14.735643
23,8.552513,-24.237114
24,43.32229,-3.331015
25,6.178874,5.9662604
26,0.507936,48.8239
27,30.266472,-32.599636
28,-0.52862996,-54.580547
29,2.8053424,47.91907
30,2.9677722,12.897514
31,9.620086,-14.538997
32,3.6579726,13.825237
33,-19.038673,-19.557089
34,-19.668127,10.381532
35,0.45650092,-55.145443
36,13.721275,14.473386
37,-50.567375,-3.935719
38,-51.1559,-4.019408
39,-0.5805818,-48.688488
40,48.492577,0.4220877
41,44.581444,0.6713317
42,-18.044453,7.1867337
43,-31.2669,30.328634
44,46.043022,2.3252482
45,-50.157906,-4.4922433
46,-14.189097,7.0833907
47,14.839819,18.729343
48,4.4943447,-15.4879
49,-33.03723,31.344421
50,12.54713,9.184468
51,9.624722,10.918513
52,46.7661,-0.5677563
53,7.374586,13.037472
54,-16.903063,5.792842
55,-47.349808,-2.2015164
56,31.694408,-27.918106
57,49.801826,2.0678437
58,-0.5541409,-50.147373
59,16.655745,15.705666
60,-53.80271,-2.7483582
61,-1.1655111,44.338997
62,1.8919626,-47.508724
63,-2.4381895,42.784065
64,30.618916,-29.411419
65,-1.9830487,-54.558468
66,-48.22938,-3.0281641
67,-21.36,-20.25555
68,0.10688785,-48.68047
69,40.33364,-0.14334261
70,6.9036064,16.893034
71,-20.483868,8.894283
72,-3.6634014,46.56498
73,5.549258,11.479229
74,5.0260277,-18.699415
75,-2.3788157,6.856762
76,3.3003035,53.432785
77,-20.56939,10.208205
78,-0.24096778,-50.374718
79,42.36487,-0.3168431
80,31.307594,-34.05711
81,43.93816,-2.5855649
82,-3.8135583,-50.97029
83,-27.658482,34.395622
84,-6.1064124,2.5372028
85,12.8530245,6.3592844
86,49.660114,2.7138438
87,1.4478196,44.932648
88,44.449505,-0.5401034
89,29.495922,-34.675083
90,43.240154,-0.43372184
