,comp1,comp2
0,45.309013,-13.053773
1,45.75114,-12.277591
2,44.88112,-14.324319
3,45.583054,-12.356481
4,42.807846,-10.135072
5,45.346798,-12.326278
6,44.937214,-10.935602
7,45.70384,-10.770016
8,40.44824,-10.693559
9,44.59234,-13.590193
10,42.65922,-13.80127
11,43.100044,-15.062177
12,31.978443,-18.89214
13,46.35256,-13.418983
14,46.642708,-13.002287
15,46.62473,-13.043339
16,47.44613,-14.473516
17,46.38998,-13.521137
18,36.437744,-4.4442515
19,36.78766,-6.271674
20,41.682674,-9.347522
21,41.889286,-13.57054
22,41.23549,-13.522254
23,41.409492,-15.963621
24,31.547121,-19.263233
25,43.79102,-12.884954
26,44.53598,-10.787563
27,37.589355,-13.090776
28,43.31619,-11.675514
29,41.304512,-14.393156
30,36.61165,-5.1259055
31,44.152027,-10.3519945
32,43.605602,-11.064386
33,41.055946,-11.899213
34,40.365616,-12.809409
35,43.04895,-10.834956
36,40.961895,-11.58683
37,38.132233,-13.713185
38,44.440704,-13.676354
39,44.552544,-10.664427
40,44.864437,-14.486269
41,41.32493,-12.425442
42,44.54339,-14.021115
43,39.639065,-14.966518
44,43.651554,-13.487741
45,41.545803,-10.4222145
46,44.5963,-18.551796
47,41.497147,-13.94725
48,47.29232,-14.748882
49,44.58241,-16.739225
50,47.476437,-15.557414
51,45.508625,-15.429801
52,47.397118,-15.687791
53,45.52863,-13.965212
54,41.648903,-14.206128
55,44.58788,-15.657475
56,37.615128,-4.5114946
57,42.071667,-16.024857
58,46.359985,-16.561773
59,42.827576,-17.061771
60,42.73865,-15.87615
61,41.51139,-15.294644
62,45.654396,-16.949484
63,42.96387,-17.4838
64,43.004654,-17.102016
65,41.91384,-16.739065
66,45.182354,-17.068825
67,42.281178,-16.426096
68,44.839825,-11.658715
69,42.230877,-16.957365
70,45.833614,-10.403255
71,41.48803,-16.157652
72,44.56054,-11.224094
73,45.561157,-14.8423605
74,44.09561,-10.899342
75,42.99968,-13.250388
76,42.708744,-11.154097
77,43.73471,-10.770728
78,42.67033,-13.169744
79,38.50935,-13.249684
80,38.9176,-9.824656
81,43.4666,-12.318231
82,41.934677,-12.396987
83,41.612934,-10.498308
84,38.11917,-13.61761
85,38.63325,-12.210023
86,43.49342,-12.433432
87,44.642467,-13.183631
88,42.562508,-14.30489
89,43.228584,-10.607942
90,40.438236,-13.350778
91,43.61913,-12.875691
92,41.05836,-13.0529175
93,40.88772,-14.914662
94,44.37696,-12.788942
95,39.46875,-11.268884
96,37.88445,-13.101652
97,35.322254,-15.406654
98,36.460213,-7.104346
99,34.426743,-11.577181
100,34.700005,-14.438702
101,34.081577,-14.6752405
102,34.655228,-10.6977825
103,30.386084,-14.430872
104,33.85754,-13.537517
105,30.51368,-14.412178
106,33.62678,-14.709794
107,31.191471,-10.735909
108,38.48171,-17.968372
109,38.471264,-18.05362
110,39.11937,-16.963158
111,36.056915,-7.1458454
112,43.76488,-15.637441
113,31.60542,-19.02473
114,38.23759,-15.964398
115,28.297594,-14.41486
116,43.770508,-15.741444
117,33.83654,-16.49159
118,31.548859,-19.113474
119,30.258408,-14.425511
120,43.79555,-15.058396
121,43.35291,-15.264763
122,44.046432,-14.990436
123,43.90471,-15.3208475
124,38.442497,-17.532043
125,37.579376,-7.2625365
126,31.39089,-18.978783
127,33.86636,-16.814716
128,36.917084,-15.69995
129,34.358932,-10.835616
130,40.827408,-15.493783
131,35.01447,-15.049215
132,36.53318,-13.376893
133,33.17238,-16.781471
134,36.16102,-13.822202
135,36.588387,-5.639833
136,36.99332,-14.639307
137,36.747314,-4.746547
138,34.62609,-14.159042
139,36.49108,-16.14791
140,29.675837,-14.445477
141,38.54588,-14.204601
142,36.02319,-2.8975408
143,36.429607,-14.405483
144,33.773773,-16.688795
145,28.505146,-14.352663
146,35.366997,-13.89566
147,35.64403,-14.215922
148,30.11367,-14.480916
149,36.05511,-15.068208
150,42.041794,-18.829674
151,39.318314,-18.615217
152,35.82403,-7.035828
153,41.54752,-17.838312
154,43.538116,-18.869278
155,43.2632,-19.277578
156,46.430313,-16.829924
157,41.386353,-19.555086
158,43.522038,-18.154863
159,43.76487,-18.204506
160,46.62202,-11.145204
161,36.94872,-5.1970634
162,45.895283,-17.385946
163,45.79832,-17.384335
164,45.49215,-17.807701
165,39.52689,-18.476316
